AlephGroup,UUID
01AC,1bc376ce-2886-478b-9e66-8c17aad8bceb
01HC,1bc376ce-2886-478b-9e66-8c17aad8bceb
01MH,1bc376ce-2886-478b-9e66-8c17aad8bceb
01SC,1bc376ce-2886-478b-9e66-8c17aad8bceb
01UM,1bc376ce-2886-478b-9e66-8c17aad8bceb
02AC,1bc376ce-2886-478b-9e66-8c17aad8bceb
02HC,1bc376ce-2886-478b-9e66-8c17aad8bceb
02MH,1bc376ce-2886-478b-9e66-8c17aad8bceb
02SC,1bc376ce-2886-478b-9e66-8c17aad8bceb
04SC,1bc376ce-2886-478b-9e66-8c17aad8bceb
07UM,1bc376ce-2886-478b-9e66-8c17aad8bceb
09HC,1bc376ce-2886-478b-9e66-8c17aad8bceb
09MH,1bc376ce-2886-478b-9e66-8c17aad8bceb
09SC,1bc376ce-2886-478b-9e66-8c17aad8bceb
09UM,1bc376ce-2886-478b-9e66-8c17aad8bceb
10MH,1bc376ce-2886-478b-9e66-8c17aad8bceb
33MH,1bc376ce-2886-478b-9e66-8c17aad8bceb
47UM,1bc376ce-2886-478b-9e66-8c17aad8bceb
30SC,22cfafbb-6a5d-4de7-9b6d-1b05f5535a87
23AC,28e16652-9041-4661-9716-89abe276cece
40HC,28e16652-9041-4661-9716-89abe276cece
40MH,28e16652-9041-4661-9716-89abe276cece
40SC,28e16652-9041-4661-9716-89abe276cece
48UM,28e16652-9041-4661-9716-89abe276cece
20AC,4261cb0a-edf6-4302-8028-9e5b67050c9e
20HC,4261cb0a-edf6-4302-8028-9e5b67050c9e
20MH,4261cb0a-edf6-4302-8028-9e5b67050c9e
20SC,4261cb0a-edf6-4302-8028-9e5b67050c9e
20UM,4261cb0a-edf6-4302-8028-9e5b67050c9e
21SC,4261cb0a-edf6-4302-8028-9e5b67050c9e
23UM,4261cb0a-edf6-4302-8028-9e5b67050c9e
29AC,4261cb0a-edf6-4302-8028-9e5b67050c9e
29HC,4261cb0a-edf6-4302-8028-9e5b67050c9e
29MH,4261cb0a-edf6-4302-8028-9e5b67050c9e
29SC,4261cb0a-edf6-4302-8028-9e5b67050c9e
29UM,4261cb0a-edf6-4302-8028-9e5b67050c9e
31SC,499abb36-9815-4758-ad6f-2335b28b4e8b
11SC,4a91140c-fe52-4166-b74b-25e10ce9121b
30AC,4bb3c080-5bec-4f85-8d24-0eb6861c4791
31MH,4d61f460-0a9f-484c-9972-bddf87865961
31UM,4e0d7f8e-7aaa-46e0-a243-0b1e07325395
21AC,612512f9-b2f1-4716-9c2a-463b484b0613
21HC,612512f9-b2f1-4716-9c2a-463b484b0613
21MH,612512f9-b2f1-4716-9c2a-463b484b0613
21UM,612512f9-b2f1-4716-9c2a-463b484b0613
22SC,612512f9-b2f1-4716-9c2a-463b484b0613
39AC,612512f9-b2f1-4716-9c2a-463b484b0613
39HC,612512f9-b2f1-4716-9c2a-463b484b0613
39MH,612512f9-b2f1-4716-9c2a-463b484b0613
39SC,612512f9-b2f1-4716-9c2a-463b484b0613
39UM,612512f9-b2f1-4716-9c2a-463b484b0613
10SC,7cd7828b-0713-411c-b019-4e60b763c3d2
10UM,7cd7828b-0713-411c-b019-4e60b763c3d2
11MH,7cd7828b-0713-411c-b019-4e60b763c3d2
11UM,7cd7828b-0713-411c-b019-4e60b763c3d2
12UM,7cd7828b-0713-411c-b019-4e60b763c3d2
18AC,7cd7828b-0713-411c-b019-4e60b763c3d2
18HC,7cd7828b-0713-411c-b019-4e60b763c3d2
18MH,7cd7828b-0713-411c-b019-4e60b763c3d2
18SC,7cd7828b-0713-411c-b019-4e60b763c3d2
18UM,7cd7828b-0713-411c-b019-4e60b763c3d2
19AC,7cd7828b-0713-411c-b019-4e60b763c3d2
19HC,7cd7828b-0713-411c-b019-4e60b763c3d2
19MH,7cd7828b-0713-411c-b019-4e60b763c3d2
19SC,7cd7828b-0713-411c-b019-4e60b763c3d2
19UM,7cd7828b-0713-411c-b019-4e60b763c3d2
22UM,8aef8c1f-adbd-4a5f-8ca8-1bdc012ada79
30UM,92b1274c-f9a1-49fc-b901-7386f12437c8
33UM,92b1274c-f9a1-49fc-b901-7386f12437c8
37UM,92b1274c-f9a1-49fc-b901-7386f12437c8
32UM,c74774b0-f83c-4f67-8645-629b725582ee
44UM,c74774b0-f83c-4f67-8645-629b725582ee
30MH,cbfb3071-ae6b-4b62-8c10-e6d795d8834a
30HC,d2e16179-ce09-4c69-b492-e02365977dcd
32HC,d2e16179-ce09-4c69-b492-e02365977dcd
41MH,db3b66d7-6ad4-47c5-b1f3-7fa5487170a8
